code,sampling_date,sample_description,sample_description_old,planting_date,lat,long,toc,soc_stock,soc_stock_unit,depth,bd,LC1_Desc
29402158,2018-05-21,c31a1198-deb3-4c3f-925c-ba293fbc580a,fd1a458e-2909-4089-a6f1-8fb408744661,2015-05-21,41.155757,-6.531302268,17.5,16.713531800000005,tC/acre,0.2,1.1800000000000002,Grassland without tree/shrub cover
29441976,2018-05-11,c3e5f1f3-bd0d-4af1-b5cc-fb502744ed42,f4573099-7abd-449b-8ab8-6a1ca4b4cb45,2015-05-11,39.55922911,-6.066713301,11.1,10.601154456,tC/acre,0.2,1.1800000000000002,Grassland without tree/shrub cover
29442364,2018-07-20,e865d090-30e3-47d7-b3b2-09e2563b8b3d,056fe497-33c3-4471-970d-3fbe46079d70,2015-07-20,42.97293836,-6.994568176,42.1,40.20798221600001,tC/acre,0.2,1.1800000000000002,Grassland without tree/shrub cover
29442378,2018-07-24,a44e3848-068b-4875-8029-2fefc2b7ffce,4d18350f-4574-467f-9c67-3adff73faf8f,2015-07-24,43.09564825,-7.030744638,36.8,35.14616972800001,tC/acre,0.2,1.1800000000000002,Grassland without tree/shrub cover
29562218,2018-06-16,0c499d5e-ab1e-4a9b-9f0c-c761fedcce75,a7dc890b-7af3-4d3f-961a-99408cf4129e,2015-06-16,41.71498243,-6.487854372,22.6,22.37088020560001,tC/acre,0.2,1.223,Grassland without tree/shrub cover
29581942,2018-05-29,a2f8ac5b-edd5-4049-b318-f8251b34554a,296f7ca2-f999-4a9b-9497-00b456c7eef9,2015-05-29,39.28527693,-5.832948596,13.2,12.713615376,tC/acre,0.2,1.19,Grassland without tree/shrub cover
29642098,2018-05-16,ea5cb219-9a9a-4622-b016-82bb822522d1,0cdcbf3d-e919-4098-891c-5b9751394e0f,2015-05-16,40.67385538,-6.112117774,13.0,12.300026284000005,tC/acre,0.2,1.169,Grassland without tree/shrub cover
29661968,2018-06-29,12ae95ed-0430-4f41-99d6-36217fa28d7c,df1b0749-caf9-449e-8326-10f476af46c9,2015-06-29,39.53008672,-5.798524741,13.8,13.179813648000003,tC/acre,0.2,1.1800000000000002,Grassland without tree/shrub cover
29682168,2018-05-01,f19266c2-b045-4628-aec1-e8fa0e4c3937,9d6fec22-292a-41f0-b9b9-4d5fb2632982,2015-05-01,41.29833581,-6.228033459,16.6,21.416306868800007,tC/acre,0.2,1.594,Grassland without tree/shrub cover
29702138,2018-07-30,a2ba5de5-d899-402d-9a7b-0681ba5c0461,bb37a8cf-3e27-47a9-944b-33991b70c3ab,2015-07-30,41.03791552,-6.134666333,11.6,14.604146493600002,tC/acre,0.2,1.5555,Grassland without tree/shrub cover
29721970,2018-05-29,0d289a8a-0514-4839-9bbd-ccd01e76fea2,14333ac5-6501-44f7-9a98-8fdd68d5e817,2015-05-29,39.55897477,-5.73450943,13.8,11.9623562856,tC/acre,0.2,1.071,Grassland without tree/shrub cover
29722178,2018-05-12,37d0e3f3-5fac-4f0e-8db6-4e9766c56a09,5a4915a2-1bce-4366-8219-a4122bc89890,2015-05-12,41.39411491,-6.204733215,12.4,12.545266000000002,tC/acre,0.2,1.25,Grassland without tree/shrub cover
29761754,2018-05-17,ff290f57-2e9f-4431-8f68-f4d345fc8a00,a6f8e85b-62c8-4575-8e1b-983839c537f3,2015-05-17,37.65292859,-5.239352241,14.7,13.860900186,tC/acre,0.2,1.165,Grassland without tree/shrub cover
29761880,2018-05-28,e87b7fcc-b679-424b-906a-4b15eb880d57,9bbf0c2f-3c3e-438f-8c09-52bd0c18840e,2015-05-28,38.77007189,-5.49718734,14.6,16.212692406400006,tC/acre,0.2,1.372,Grassland without tree/shrub cover
29781738,2018-05-15,765c7787-4586-465f-a55c-3e1216fdedae,1db1ccc8-ec51-4aea-8b1d-57cff52545cb,2015-05-15,37.51446482,-5.185309934,11.7,11.174189832,tC/acre,0.2,1.1800000000000002,Grassland without tree/shrub cover
29782206,2018-06-02,6a86f6ee-4455-4f5b-8909-6ea0759cb38b,d15b04eb-d322-465b-91c1-98a7deacef97,2015-06-02,41.65221642,-6.200412297,30.8,29.41581596800001,tC/acre,0.2,1.1800000000000002,Grassland without tree/shrub cover
